business_day,trips_count,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holiday,school_holiday,season_winter,season_spring,season_summer,season_autumn,zerotosix,sixtotwelve,twelvetoeighteen,eighteentozero,rain,fog,snow,cloudy,partly_cloudy,clear,avg_temp,avg_windspeed,avg_humidity,avg_visibility,num_row
2014-01-23,1854,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-7.3,24.35,43.18,16.0,36
2014-01-24,144,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-10.06,25.54,50.55,16.0,37
2014-01-24,1554,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-8.3,23.45,43.14,16.0,38
2014-01-24,2051,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-11.47,27.13,47.16,16.0,39
2014-01-24,2427,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-7.85,17.95,33.19,16.0,40
2014-01-25,186,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-7.38,26.0,44.49,16.0,41
2014-01-25,795,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-4.1,15.15,69.79,16.0,42
2014-01-25,1341,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-5.7,24.1,49.0,16.0,43
2014-01-25,2016,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-3.5,14.8,74.78,2.07,44
2014-01-26,217,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-5.38,19.9,55.25,15.63,45
2014-01-26,1007,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-7.56,17.94,39.46,16.0,46
2014-01-26,1280,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-2.04,9.38,49.74,16.0,47
2014-01-26,2476,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-6.17,15.73,46.8,14.07,48
2014-01-27,200,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8,4.55,62.41,16.0,49
2014-01-27,3654,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-3.98,20.26,28.77,16.0,50
2014-01-27,4623,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.38,24.15,41.85,16.0,51
2014-01-27,4642,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.62,11.96,57.07,16.0,52
2014-01-28,190,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-7.67,20.82,36.95,16.0,53
2014-01-28,2916,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-7.75,6.05,28.56,16.0,54
2014-01-28,3396,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-8.0,8.93,27.53,16.0,55
2014-01-28,3531,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-10.27,16.1,38.76,16.0,56
2014-01-29,136,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-9.65,10.93,74.37,2.83,57
2014-01-29,3007,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-6.63,14.78,34.87,16.0,58
2014-01-29,3157,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-9.8,13.77,53.37,15.67,59
2014-01-29,3721,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-6.2,14.88,29.6,16.0,60
2014-01-30,223,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-7.77,6.12,39.96,16.0,61
2014-01-30,3531,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-3.23,9.78,47.36,16.0,62
2014-01-30,4121,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-7.22,8.13,41.0,16.0,63
2014-01-30,4283,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2.9,6.75,34.62,16.0,64
